Timestamp,What school do you go to?,What school year are you?,"When do you usually drink energy drinks (like Red Bull, Celsius, or Monster)?","When you drink Red Bull specifically, where do you usually get it?",What would make you most likely to buy Red Bull on campus?," If Red Bull were a person on campus, what would their vibe be?
(One word or phrase – optional)"
4/1/2025 12:31:28,Pitzer,Junior,🏋️ Before or after working out,"🛒 Campus store (Hub, Coop, Pit Stop, etc.)",💸 Lower price / student discount,Party animal
4/1/2025 13:19:53,Pitzer,Senior,🚫 I don’t drink energy drinks,🤷 I never buy Red Bull,🚫 Nothing—I wouldn’t buy it either way,"Chaotic, quirky and slightly strange. Wearing a lot of tiedye "
4/1/2025 15:25:27,Mudd,Junior,🧠 While studying or working late,📦 Off-campus store / delivery,💸 Lower price / student discount,Crackhead
4/1/2025 15:52:41,Scripps,Sophomore,🧠 While studying or working late,"🛒 Campus store (Hub, Coop, Pit Stop, etc.)",💸 Lower price / student discount,Crazy gnarly sendy electric 😜🤙 
4/1/2025 17:21:10,Pitzer,Senior,🚫 I don’t drink energy drinks,🤷 I never buy Red Bull,💸 Lower price / student discount,Energetic
4/1/2025 17:21:24,CMC,Senior,🏋️ Before or after working out,🧊 Vending machine,🎁 Bundles or giveaways,Extreme
4/1/2025 19:40:18,CMC,Senior,🧠 While studying or working late,🧊 Vending machine,💸 Lower price / student discount,Adventurous 
4/1/2025 20:03:54,Pitzer,Senior,🚫 I don’t drink energy drinks,🤷 I never buy Red Bull,🐂 Sick campus events,Rad
4/1/2025 22:04:22,Pitzer,Junior,🚫 I don’t drink energy drinks,🤷 I never buy Red Bull,🚫 Nothing—I wouldn’t buy it either way,
4/2/2025 12:56:44,Pitzer,Sophomore,😴 When I’m feeling tired or hungover,🧊 Vending machine,💸 Lower price / student discount,Energetic
4/2/2025 12:57:11,Pitzer,Freshman,🎉 At parties or social events,"🛒 Campus store (Hub, Coop, Pit Stop, etc.)",💸 Lower price / student discount,fun
4/2/2025 12:57:32,Pitzer,Freshman,🚫 I don’t drink energy drinks,🧊 Vending machine,💸 Lower price / student discount,Energtic
4/2/2025 12:57:57,Pomona,Senior,🏋️ Before or after working out,"🛒 Campus store (Hub, Coop, Pit Stop, etc.)",😋 More flavor options,
4/2/2025 12:59:47,Scripps,Sophomore,😴 When I’m feeling tired or hungover,"🛒 Campus store (Hub, Coop, Pit Stop, etc.)",😋 More flavor options,
4/2/2025 12:59:53,Scripps,Senior,🎉 At parties or social events,📦 Off-campus store / delivery,🐂 Sick campus events,Stoked
4/2/2025 13:00:56,Pomona,Sophomore,🎉 At parties or social events,"🛒 Campus store (Hub, Coop, Pit Stop, etc.)",💸 Lower price / student discount,chill
4/2/2025 13:01:05,Scripps,Sophomore,😴 When I’m feeling tired or hungover,📦 Off-campus store / delivery,💸 Lower price / student discount,gay but energized 
4/2/2025 13:01:07,Scripps,Sophomore,😴 When I’m feeling tired or hungover,📦 Off-campus store / delivery,💸 Lower price / student discount,energetic
4/2/2025 13:01:21,Scripps,Sophomore,🧠 While studying or working late,🤷 I never buy Red Bull,💸 Lower price / student discount,The guy working at the stand 
4/2/2025 13:03:01,Scripps,Not a student,😴 When I’m feeling tired or hungover,📦 Off-campus store / delivery,🐂 Sick campus events,
4/2/2025 13:03:42,Scripps,Not a student,😴 When I’m feeling tired or hungover,📦 Off-campus store / delivery,🐂 Sick campus events,Chris Farley
4/2/2025 13:04:22,Pitzer,Sophomore,🧠 While studying or working late,🧊 Vending machine,💸 Lower price / student discount,Like gym bro unchill vibes with chill overtones
4/2/2025 13:08:21,Pitzer,Senior,😴 When I’m feeling tired or hungover,🧊 Vending machine,💸 Lower price / student discount,
4/2/2025 13:09:53,Pomona,Freshman,🏋️ Before or after working out,"🛒 Campus store (Hub, Coop, Pit Stop, etc.)",💸 Lower price / student discount,
4/2/2025 13:11:52,Pitzer,Senior,😴 When I’m feeling tired or hungover,📦 Off-campus store / delivery,💸 Lower price / student discount,Bouncing off the walls
4/2/2025 13:17:50,Scripps,Sophomore,🧠 While studying or working late,🤷 I never buy Red Bull,🐂 Sick campus events,energetic 
4/2/2025 13:19:22,Scripps,Senior,🎉 At parties or social events,"🛒 Campus store (Hub, Coop, Pit Stop, etc.)",💸 Lower price / student discount,grace
4/2/2025 13:19:25,Scripps,Senior,🧠 While studying or working late,"🛒 Campus store (Hub, Coop, Pit Stop, etc.)",💸 Lower price / student discount,Gamer
